NOMBRE EST.,BIC. DISPONIBLES,DIR.
1814907590556515014,28,1814907590556515014
22ab59a8-0af4-4101-9350-a7af88e37c2e,12,3936
66de2b2f-0aca-11e7-82f6-3863bb44ef7c,56,3381
499e10ad-c008-461e-8cf7-20757218a9cc,24,4319
66dcc8b3-0aca-11e7-82f6-3863bb44ef7c,27,3060
3db799ba-b574-4e5f-95e5-c767bec2acb6,11,3963
66de85d2-0aca-11e7-82f6-3863bb44ef7c,17,3435
9394fb49-583f-4426-8d2f-a2b0ffb584d2,39,3737
d11b9869-8964-4b79-aafc-4b60ad1b44c4,33,3776
af72ab76-c6cb-4994-af96-51fa8846ecdc,6,4941
81bec993-29a5-4e70-8f60-eecdf16c7be4,23,4684
66de17f7-0aca-11e7-82f6-3863bb44ef7c,41,3350
7938263e-e5b8-4ca7-b8bf-1adbaae5fead,19,4206
1876800925490112950,13,1876800925490112950
6476c5fd-611e-436c-9736-e0f43bb7774e,13,4147
66db408f-0aca-11e7-82f6-3863bb44ef7c,14,249
12279d2b-29f6-4e02-a7f0-244970f7edd5,6,3561
7f4753d7-8d58-48bd-a881-de5bff08b27d,19,4820
b0bac4ef-bb57-4598-a433-75c281170d5b,15,4001
66de0a78-0aca-11e7-82f6-3863bb44ef7c,15,3330
ba33c334-e17d-4478-ae3c-9c2f4dbfbb51,19,4826
1854538962214948918,33,1854538962214948918
26b3a82b-3487-44c2-85f1-eddb5a8a3a9d,12,4801
f62526d4-9c6a-4c76-be76-c64b5be669d2,23,4287
0b009276-767c-47ee-a4d2-7633d4f95d95,12,3731
1864605386632012480,11,1864605386632012480
8caf71df-76c3-43fb-be98-d555d2291460,4,3558
545a32d3-b74c-4dc2-b82c-a6d185dd4666,8,4084
c8c39d85-4ce7-46c5-b709-998067200780,12,4565
32cc1603-a4b5-4099-b7bf-681de451b04a,34,4737
66dd217d-0aca-11e7-82f6-3863bb44ef7c,34,3117
66de43a5-0aca-11e7-82f6-3863bb44ef7c,29,3387
66de2707-0aca-11e7-82f6-3863bb44ef7c,13,3376
4c03fa2d-89da-4f0b-8f19-c7de5edbe256,15,4006
1888015107269225164,32,1888015107269225164
18415ea7-efce-408d-bcb9-4693fb088dda,33,4884
66ddea99-0aca-11e7-82f6-3863bb44ef7c,6,3306
69f84045-48f9-4c6c-90d3-0503e5ed39e9,20,3574
0ddb965d-95ef-4ce3-bde6-81a56ac1fbd2,18,3959
3f05490b-a3d8-4d15-bd25-0212555b5dff,28,4358
0630217a-3913-47d9-9540-cf85688296a5,25,3522
66dc840f-0aca-11e7-82f6-3863bb44ef7c,10,526
1817432434869846072,34,1817432434869846072
1814907423052790164,35,1814907423052790164
66de1ea2-0aca-11e7-82f6-3863bb44ef7c,29,3361
1814906692908349788,26,1814906692908349788
66de63cd-0aca-11e7-82f6-3863bb44ef7c,21,3422
1871698348432996504,12,1871698348432996504
f3782e27-c49a-4ee9-b188-0c13cad54688,12,4751
66db9c2e-0aca-11e7-82f6-3863bb44ef7c,20,339
c602146e-d69d-43b6-9e8f-054c4df5377e,22,4250
81a98b0b-cfd6-48b4-90bd-806ebbc264a0,14,3661
1859438049977968878,8,1859438049977968878
1786698974100683436,14,1786698974100683436
1911424232096693138,2,1911424232096693138
2637fed8-1e2a-460b-83eb-3eb32ace0f4e,5,4720
c71cca54-17f6-42bc-ba94-3f5bd9c70197,41,4590
8a89684b-40a5-49fe-b75d-fdf32ffa8102,12,4141
66dbe68e-0aca-11e7-82f6-3863bb44ef7c,6,383
66dbee85-0aca-11e7-82f6-3863bb44ef7c,44,397
1804892772559499512,3,1804892772559499512
66db3687-0aca-11e7-82f6-3863bb44ef7c,7,216
2c8b263e-952c-4941-a671-ef0ebb062632,17,5048
579e583e-60ab-4f2a-83d0-fabebddfcd0f,5,4457
1826348248869574940,34,1826348248869574940
66db6f2e-0aca-11e7-82f6-3863bb44ef7c,29,307
66dc3ab9-0aca-11e7-82f6-3863bb44ef7c,35,473
66dde69c-0aca-11e7-82f6-3863bb44ef7c,9,3297
66db4549-0aca-11e7-82f6-3863bb44ef7c,37,262
7a6fc75f-a605-4dd6-b567-b2bbbfb862f3,29,4871
66dd1d0f-0aca-11e7-82f6-3863bb44ef7c,30,3109
66dd17a5-0aca-11e7-82f6-3863bb44ef7c,55,3100
498d7e8e-5164-4f26-9ce6-399947d73b1a,12,3849
47da6ab2-c841-4f2d-97ef-dd8d441c96b1,4,4626
26217b73-7bb5-46e6-8094-1db05becd617,5,4047
66de6346-0aca-11e7-82f6-3863bb44ef7c,32,3421
37a37e5b-f975-4f92-a897-dca8e4670631,18,4313
20ff5447-eac3-43b7-820f-f6fa3a2e12a8,18,3498
d470e82e-d109-4e2e-b66a-f5e944cbfe97,5,4940
d80c274e-d17d-4a00-9b76-274c9fe4d0e1,28,3543
29ced315-14b5-4edc-bef2-665316dfe3dd,41,4711
dad39e68-53f5-47c2-87e2-b1cc0e34f90f,28,3926
66de1516-0aca-11e7-82f6-3863bb44ef7c,22,3348
1929504694747056164,8,1929504694747056164
